Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-02 16:45:00+00:00,3,True,1.6490000486373901,10.847999572753906,-4.78000020980835,11.854000091552734,2015-09-02 16:47:33.709315896+00:00,407,439,3003,3035,2464,23.681,3.302,-1.018,28.416,3.422,-1.106,28.448,4.77,-16.203,33.092,4.77,-16.203,33.092,4.285999774932861,4.269000053405762,27.94300079345703,27.517000198364258,63.765,90.978,16.278,63.483,90.822,16.944,8.184,-286.063,-150.435,8.404,-284.613,-153.243,19652722.0,2680838.75,19664522.0,2739270.5,21195928.0,2798625.0,21182176.0,2832354.25,1.945,3.647,
2016-10-02 20:00:30+00:00,3,True,0.9539999961853027,11.458000183105469,-3.190999984741211,11.894000053405762,2016-10-02 20:02:30.657461524+00:00,163,195,1911,1943,1644,25.185,13.306,-38.566,8.286,13.248,-38.566,8.204,5.471,-20.278,15.439,5.471,-20.278,15.439,2.0739998817443848,2.069000005722046,10.937999725341797,11.083000183105469,12.365,-94.528,12.563,12.303,-91.661,13.634,66.709,-313.894,98.459,62.946,-318.993,96.381,6055720.0,4083217.75,6034814.5,3980691.75,8809876.0,4878773.0,8819219.0,4876075.5,2.445,0.288,
2016-10-02 20:05:30+00:00,3,True,0.9089999794960022,11.46500015258789,-3.1519999504089355,11.890999794006348,2016-10-02 20:02:30.657461524+00:00,1675,1707,1071,1103,804,16.229,12.649,-35.144,14.813,13.12,-34.957,14.19,5.471,-20.278,15.439,5.471,-20.278,15.439,3.7809998989105225,3.7190001010894775,10.937999725341797,11.083000183105469,43.624,-177.864,62.362,49.873,-178.334,64.257,66.679,-313.903,98.45,62.915,-319.004,96.372,3188882.0,4083217.75,3315817.5,3980691.75,5091675.0,4878773.0,5087287.0,4876075.5,2.445,0.312,
2016-10-02 20:02:30+00:00,3,True,0.9359999895095825,11.461000442504883,-3.174999952316284,11.892999649047852,2016-10-02 20:02:30.657461524+00:00,163,195,1911,1943,1644,25.185,13.306,-38.566,8.286,13.248,-38.566,8.204,5.471,-20.278,15.439,5.471,-20.278,15.439,2.0739998817443848,2.069000005722046,10.937999725341797,11.083000183105469,12.365,-94.528,12.563,12.303,-91.661,13.634,66.709,-313.894,98.459,62.946,-318.993,96.381,6055720.0,4083217.75,6034814.5,3980691.75,8809876.0,4878773.0,8819219.0,4876075.5,2.445,0.288,
2015-09-02 16:41:24+00:00,3,True,1.684999942779541,10.829999923706055,-4.806000232696533,11.847999572753906,2015-09-02 16:45:12.408331394+00:00,407,439,1810,1842,1522,17.969,3.302,-1.018,28.416,3.422,-1.106,28.448,8.708,-10.426,30.987,8.708,-10.426,30.987,4.285999774932861,4.269000053405762,31.222999572753906,30.55299949645996,63.765,90.978,16.278,63.483,90.822,16.944,-14.44,-282.555,-121.614,-12.365,-280.861,-120.807,19652722.0,3049790.0,19664522.0,3135168.0,21195928.0,2973334.25,21182176.0,3024891.5,3.115,3.647,
2015-09-02 16:48:44+00:00,3,True,1.6180000305175781,10.86299991607666,-4.756999969482422,11.859000205993652,2015-09-02 16:47:33.709315896+00:00,174,206,3403,3435,1531,56.94,3.186,-2.779,29.899,3.052,-2.781,29.788,-0.761,-20.132,10.783,-0.761,-20.132,10.783,4.038000106811523,4.025000095367432,53.99700164794922,53.887001037597656,-0.649,-33.199,24.72,-0.919,-31.511,23.473,14.256,-244.243,-101.7,14.608,-244.162,-101.686,22845356.0,1627524.25,22679148.0,1633153.25,25769296.0,1843327.375,25895974.0,1843159.25,6.252,3.638,
2015-09-02 16:50:14+00:00,3,True,1.6039999723434448,10.869000434875488,-4.747000217437744,11.859999656677246,2015-09-02 16:47:33.709315896+00:00,2157,2189,3103,3135,931,41.094,1.375,6.984,39.244,1.053,7.495,39.287,6.203,-16.651,29.329,6.203,-16.651,29.329,2.950000047683716,3.134000062942505,35.237998962402344,35.494998931884766,17.505,-101.625,-61.451,16.144,-94.952,-61.347,19.701,-224.267,-93.885,19.263,-223.615,-94.2,20783142.0,2075293.25,21337354.0,2095653.125,24590340.0,2703683.0,24606374.0,2723486.25,2.449,1.533,
2015-09-02 17:02:44+00:00,3,True,1.4910000562667847,10.918999671936035,-4.660999774932861,11.871999740600586,2015-09-02 17:05:05.216631531+00:00,163,195,2193,2225,2941,73.114,2.325,10.591,38.245,2.529,10.983,38.329,3.061,-22.744,14.541,3.061,-22.744,14.541,3.255000114440918,3.309000015258789,45.66600036621094,45.4739990234375,36.072,-110.382,-25.731,37.515,-109.794,-25.678,19.113,-230.3,-83.732,18.612,-228.6,-84.454,23948272.0,1826222.125,23656716.0,1835276.125,29775006.0,2033815.625,29664688.0,2064745.5,4.07,1.864,
2015-09-03 17:29:54+00:00,3,True,1.3669999837875366,10.970000267028809,-4.498000144958496,11.855999946594238,2015-09-03 17:25:32.826460480+00:00,2511,2543,1245,1277,258,7.055,2.847,-1.681,30.022,3.06,-1.114,29.918,0.694,2.168,41.857,0.694,2.168,41.857,2.2219998836517334,2.239000082015991,15.545000076293945,15.58899974822998,90.285,143.477,-33.753,91.005,149.809,-34.955,15.838,-66.785,-119.974,17.44,-61.973,-117.843,44813712.0,4370646.0,45792284.0,4388553.0,52065572.0,4168898.5,53097936.0,4150068.0,1.299,4.108,
2015-09-07 13:49:14+00:00,3,True,3.7230000495910645,9.498000144958496,-5.578999996185303,11.015000343322754,2015-09-07 13:51:35.009634375+00:00,998,1030,600,632,1472,58.967,5.974,-0.432,48.716,6.084,-1.147,48.684,-0.675,38.984,25.101,-0.675,38.984,25.101,4.446000099182129,4.400000095367432,16.049999237060547,16.232999801635742,-13.109,-4.026,-109.946,-13.502,-1.825,-109.25,24.265,-243.001,-84.542,27.045,-243.118,-84.271,13693602.0,3100869.5,13638266.0,3063858.0,13328718.0,4375902.5,13442106.0,4381872.0,0.905,0.86,
