mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean,data_r_rc_Shear,data_r_rc_Bisection Field,data_r_rc_Reconnection Energy,data_r_rc_Exhaust Velocity,sw_b_imf_gsm_x,sw_b_imf_gsm_y,sw_b_imf_gsm_z,sw_v_imf_gse_x,sw_v_imf_gse_y,sw_v_imf_gse_z,sw_np,sw_tp,sw_sym_h,sw_clock_angle,sw_p_dyn,r_rc_Shear,r_rc_Bisection Field,r_rc_Reconnection Energy,r_rc_Exhaust Velocity
3.0,2015-09-02 16:42:33,2015-09-02 16:52:33,1.63,10.86,-4.76,-26.5,9.31,-14.61,-1.75,3.45,0.62,17.504,79.86,5.05,2015-09-02 16:47:33+00:00,3.0,1.0,1.627,10.858,-4.763,11.857,2015-09-02 16:47:33.709315896+00:00,177.0,209.0,2627.0,2659.0,2004.0,23.095,3.144,-1.845,29.129,3.101,-1.743,29.183,6.739,-13.628,27.971,6.739,-13.628,27.971,3.119,3.147,38.373,37.895,-41.264,-45.948,7.944,-41.854,-45.476,8.729,2.062,-303.348,-164.139,2.501,-303.473,-164.783,26817270.0,2579090.75,26779010.0,2591679.0,32080320.0,2512695.0,32211218.0,2563107.5,3.182,3.623,11.76,10.497,11.17,13.866,-1.749,3.45,0.617,-389.53,-18.93,7.43,17.239,17547.5,5.6,79.86,5.045,11.76,10.497,11.17,13.866,
3.0,2015-09-04 12:05:49,2015-09-04 12:15:49,4.03,8.59,-5.23,15.03,24.6,33.22,-1.57,11.53,2.14,10.423,79.507,3.51,2015-09-04 12:10:49+00:00,3.0,1.0,4.028,8.59,-5.229,10.056,2015-09-04 12:10:49.514702916+00:00,761.0,793.0,517.0,549.0,502.0,45.929,11.345,-12.326,19.856,11.354,-12.768,19.792,9.673,7.712,25.323,9.673,7.712,25.323,1.048,1.05,13.946,14.197,0.335,62.05,-102.588,-5.202,61.726,-103.352,-37.376,-260.613,-239.553,-44.987,-262.122,-236.024,75588368.0,8703994.0,75840688.0,8605988.0,91490624.0,7127696.5,90825368.0,7097793.5,4.876,4.365,9.867,12.646,12.495,12.16,-1.566,11.527,2.135,-457.06,-9.72,-47.34,8.638,168183.203,-19.4,79.507,3.51,9.867,12.646,12.495,12.16,
3.0,2015-09-07 13:46:35,2015-09-07 13:56:35,3.7,9.52,-5.58,25.44,-29.76,8.28,-1.54,-9.31,-0.74,12.902,265.441,3.25,2015-09-07 13:51:35+00:00,3.0,1.0,3.705,9.52,-5.579,11.034,2015-09-07 13:51:35.009634375+00:00,466.0,498.0,1371.0,1403.0,940.0,49.906,5.974,-0.432,48.716,6.084,-1.147,48.684,8.424,39.955,34.663,8.424,39.955,34.663,4.446,4.4,15.394,16.715,-13.109,-4.026,-109.946,-13.502,-1.825,-109.25,-27.416,-199.813,-116.554,-33.262,-157.791,-97.769,13693602.0,4699522.5,13638266.0,4765631.0,13328718.0,4898083.5,13442106.0,4839631.0,1.227,0.86,1.868,1.508,2.589,4.238,-1.54,-9.312,-0.743,-528.9,34.5,-0.8,6.02,226168.0,-19.7,265.441,3.253,1.868,1.508,2.589,4.238,
3.0,2015-09-07 13:53:32,2015-09-07 14:03:32,3.65,9.58,-5.57,11.98,12.38,34.19,-2.61,-3.76,-3.74,13.106,225.084,2.84,2015-09-07 13:58:32+00:00,3.0,1.0,3.653,9.58,-5.576,11.084,2015-09-07 13:58:32.387494087+00:00,1084.0,1116.0,2027.0,2059.0,1056.0,139.797,6.02,-8.679,39.647,7.15,-8.179,39.691,-13.259,31.26,-24.177,-13.259,31.26,-24.177,2.774,3.067,21.431,21.22,27.222,-216.057,-0.428,24.879,-200.146,-13.876,0.515,-312.789,-208.953,3.883,-318.49,-205.381,24117890.0,3081121.5,24104590.0,3118009.5,29120500.0,3598426.0,28340086.0,3708939.0,1.359,1.613,0.015,5.085,3.32,4.644,-2.609,-3.755,-3.744,-541.375,0.763,4.462,5.045,250516.875,-21.7,225.084,2.844,0.015,5.085,3.32,4.644,
3.0,2015-09-07 17:24:22,2015-09-07 17:34:22,1.85,10.81,-4.59,-1.23,20.99,17.6,0.45,8.16,-4.19,15.486,117.169,3.55,2015-09-07 17:29:22+00:00,3.0,1.0,1.853,10.804,-4.592,11.739,2015-09-07 17:29:22.127802014+00:00,254.0,286.0,1772.0,1804.0,453.0,103.954,11.825,-10.833,21.76,11.532,-11.093,21.657,5.236,-36.916,-37.568,5.236,-36.916,-37.568,1.509,1.486,16.631,16.555,-3.102,-60.999,-47.405,-1.714,-61.13,-46.648,19.272,-309.078,-17.132,20.098,-311.032,-14.78,42411200.0,2276820.75,42905032.0,2291938.75,55385880.0,4155302.5,55612456.0,4152168.25,0.594,3.326,6.401,5.873,7.922,12.283,0.451,8.158,-4.187,-585.833,-56.8,-5.778,5.333,228853.891,-32.1,117.169,3.554,6.401,5.873,7.922,12.283,
3.0,2015-09-07 17:51:38,2015-09-07 18:01:38,1.59,10.85,-4.38,-6.51,25.17,16.02,1.48,2.88,-8.81,15.204,161.864,3.57,2015-09-07 17:56:38+00:00,3.0,1.0,1.592,10.847,-4.388,11.701,2015-09-07 17:56:38.115148544+00:00,105.0,137.0,1593.0,1625.0,160.0,94.323,13.695,-27.533,13.677,13.868,-27.418,12.917,-5.37,-14.502,-31.915,-5.37,-14.502,-31.915,1.036,1.012,14.154,14.061,-59.006,38.627,-2.433,-60.535,32.405,-3.37,1.309,-302.207,-29.125,1.376,-305.461,-29.859,51728040.0,4055533.0,52071696.0,4066910.25,57381212.0,5399746.5,57273808.0,5391843.0,1.752,1.669,2.38,5.933,5.58,6.919,1.483,2.885,-8.808,-594.111,-50.144,25.967,5.207,203246.438,-35.2,161.864,3.567,2.38,5.933,5.58,6.919,
3.0,2015-09-08 18:10:50,2015-09-08 18:20:50,1.52,10.81,-4.26,6.31,21.47,48.77,11.52,11.86,6.08,14.547,62.876,5.48,2015-09-08 18:15:50+00:00,3.0,1.0,1.525,10.805,-4.262,11.615,2015-09-08 18:15:50.452859044+00:00,2024.0,2056.0,1535.0,1567.0,309.0,26.319,12.112,-0.874,38.793,12.115,-0.874,38.785,-0.265,18.002,53.574,-0.265,18.002,53.574,1.071,1.071,14.234,14.432,75.504,-42.591,-30.87,76.932,-41.291,-32.091,-25.208,-199.535,-60.796,-25.789,-197.424,-63.405,65551580.0,2779716.5,65694844.0,2760066.75,91387072.0,3202801.25,92488128.0,3205252.25,0.464,1.678,5.823,11.26,1.256,8.175,11.518,11.865,6.078,-459.33,-7.37,7.09,13.508,9633.5,1.2,62.876,5.485,5.823,11.26,1.256,8.175,
3.0,2015-09-09 12:54:14,2015-09-09 13:04:14,4.32,9.01,-5.57,45.29,-13.58,9.18,-1.21,-2.07,-7.69,10.483,195.08,2.62,2015-09-09 12:59:14+00:00,3.0,1.0,4.318,9.004,-5.569,10.587,2015-09-09 12:59:14.303514957+00:00,127.0,159.0,1209.0,1241.0,401.0,149.018,10.849,-10.383,8.506,11.038,-10.489,8.401,-11.965,18.552,-35.877,-11.965,18.552,-35.877,1.059,1.08,16.17,16.025,-28.566,-4.216,-20.753,-26.657,-2.619,-18.169,-0.925,-190.38,-70.554,-1.35,-190.236,-70.288,63916632.0,1633950.125,63987608.0,1634866.0,78784040.0,2645754.0,79005416.0,2640166.75,0.625,8.682,4.185,6.539,5.04,6.57,-1.215,-2.072,-7.69,-404.01,-33.81,9.8,8.296,24982.4,-94.2,195.08,2.624,4.185,6.539,5.04,6.57,
3.0,2015-09-09 13:47:55,2015-09-09 13:57:55,3.94,9.48,-5.62,3.87,19.06,14.88,-1.51,-2.85,-7.09,12.205,201.918,2.81,2015-09-09 13:52:55+00:00,3.0,1.0,3.94,9.479,-5.62,11.02,2015-09-09 13:52:55.575419544+00:00,542.0,574.0,1948.0,1980.0,543.0,164.659,9.049,-10.935,17.465,9.058,-11.046,17.582,-11.316,11.049,-35.362,-11.316,11.049,-35.362,0.706,0.706,19.042,19.066,49.403,22.339,-40.948,43.132,22.034,-39.918,-33.909,-177.539,-41.797,-34.918,-172.285,-41.514,54192124.0,1600045.625,54733744.0,1584604.625,74107368.0,1795464.75,74485368.0,1793668.5,0.718,2.967,3.42,6.303,3.911,5.82,-1.506,-2.854,-7.093,-406.15,-25.31,7.06,8.832,35479.699,-81.0,201.918,2.814,3.42,6.303,3.911,5.82,
3.0,2015-09-09 14:04:10,2015-09-09 14:14:10,3.82,9.61,-5.61,-1.49,-10.97,-5.71,-1.61,-2.83,-7.23,12.684,201.415,2.94,2015-09-09 14:09:10+00:00,3.0,1.0,3.821,9.611,-5.607,11.127,2015-09-09 14:09:10.657074093+00:00,2263.0,2295.0,124.0,156.0,2004.0,175.993,12.173,-13.411,26.216,12.191,-13.82,26.543,-11.722,15.268,-24.598,-11.722,15.268,-24.598,0.628,0.62,18.091,18.043,80.63,70.299,55.568,85.752,67.282,53.444,-15.35,-101.554,-20.146,-17.155,-101.339,-19.289,65139244.0,1814246.625,64883828.0,1811972.0,70068304.0,2501440.0,70406128.0,2508087.75,1.316,1.414,3.61,6.41,4.01,5.811,-1.61,-2.834,-7.226,-409.34,-27.25,7.19,9.078,31804.6,-83.8,201.415,2.94,3.61,6.41,4.01,5.811,
