mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean,r_rc_Shear,r_rc_Bisection Field,r_rc_Reconnection Energy,r_rc_Exhaust Velocity
3.0,2015-09-03 17:25:00,2015-09-03 17:35:00,1.36,10.97,-4.49,4.14,10.28,30.51,-1.15,6.89,1.19,16.976,80.174,4.78,2015-09-03 17:30:00+00:00,3.0,1.0,1.362,10.971,-4.494,11.856,2015-09-03 17:25:32.826460480+00:00,2471.0,2503.0,1205.0,1237.0,218.0,7.055,2.847,-1.681,30.022,3.06,-1.114,29.918,0.694,2.168,41.857,0.694,2.168,41.857,2.222,2.239,15.545,15.589,90.285,143.477,-33.753,91.005,149.809,-34.955,15.838,-66.785,-119.974,17.44,-61.973,-117.843,44813712.0,4370646.0,45792284.0,4388553.0,52065572.0,4168898.5,53097936.0,4150068.0,1.299,4.108,10.501,10.791,10.985,13.59,
3.0,2015-09-04 12:05:00,2015-09-04 12:15:00,4.03,8.58,-5.22,1.11,7.26,20.91,-1.5,11.57,2.25,10.403,78.976,3.53,2015-09-04 12:10:00+00:00,3.0,1.0,4.031,8.585,-5.226,10.05,2015-09-04 12:10:49.514702916+00:00,761.0,793.0,517.0,549.0,502.0,45.929,11.345,-12.326,19.856,11.354,-12.768,19.792,9.673,7.712,25.323,9.673,7.712,25.323,1.048,1.05,13.946,14.197,0.335,62.05,-102.588,-5.202,61.726,-103.352,-37.376,-260.613,-239.553,-44.987,-262.122,-236.024,75588368.0,8703994.0,75840688.0,8605988.0,91490624.0,7127696.5,90825368.0,7097793.5,4.876,4.365,9.855,12.622,12.442,12.149,
3.0,2015-09-07 13:45:00,2015-09-07 13:55:00,3.72,9.51,-5.58,31.83,-17.23,24.76,-1.67,-9.16,-0.46,12.857,267.104,2.4,2015-09-07 13:50:00+00:00,3.0,1.0,3.716,9.507,-5.579,11.023,2015-09-07 13:51:35.009634375+00:00,825.0,857.0,427.0,459.0,1299.0,58.967,5.974,-0.432,48.716,6.084,-1.147,48.684,-0.675,38.984,25.101,-0.675,38.984,25.101,4.446,4.4,16.05,16.233,-13.109,-4.026,-109.946,-13.502,-1.825,-109.25,24.265,-243.001,-84.542,27.045,-243.118,-84.271,13693602.0,3100869.5,13638266.0,3063858.0,13328718.0,4375902.5,13442106.0,4381872.0,0.905,0.86,2.243,1.244,2.837,3.715,
3.0,2015-09-07 13:55:00,2015-09-07 14:05:00,3.64,9.59,-5.57,15.65,-32.96,-0.99,-2.76,-0.68,-4.51,13.149,188.54,2.86,2015-09-07 14:00:00+00:00,3.0,1.0,3.642,9.593,-5.575,11.095,2015-09-07 13:58:32.387494087+00:00,1084.0,1116.0,2027.0,2059.0,1056.0,139.797,6.02,-8.679,39.647,7.15,-8.179,39.691,-13.259,31.26,-24.177,-13.259,31.26,-24.177,2.774,3.067,21.431,21.22,27.222,-216.057,-0.428,24.879,-200.146,-13.876,0.515,-312.789,-208.953,3.883,-318.49,-205.381,24117890.0,3081121.5,24104590.0,3118009.5,29120500.0,3598426.0,28340086.0,3708939.0,1.359,1.613,3.57,5.391,4.834,5.391,
3.0,2015-09-07 14:05:00,2015-09-07 14:15:00,3.57,9.68,-5.56,2.8,26.87,8.97,-3.28,11.52,-5.26,13.426,114.543,2.66,2015-09-07 14:10:00+00:00,3.0,1.0,3.566,9.676,-5.566,11.163,2015-09-07 14:12:01.418042421+00:00,953.0,985.0,46.0,78.0,2809.0,38.112,6.336,0.036,27.847,6.357,-0.08,27.785,-4.727,26.559,40.302,-4.727,26.559,40.302,1.504,1.5,12.199,12.308,25.431,61.961,-96.245,25.675,62.384,-95.129,4.069,-134.771,-23.862,2.409,-132.208,-23.522,46014400.0,2623049.0,45658764.0,2652914.75,51722764.0,4414118.0,51755168.0,4450940.0,0.591,3.044,8.435,6.852,7.924,13.284,
3.0,2015-09-07 14:15:00,2015-09-07 14:25:00,3.49,9.76,-5.55,21.26,9.68,31.22,-6.01,5.56,-10.01,13.69,150.956,2.4,2015-09-07 14:20:00+00:00,3.0,1.0,3.489,9.759,-5.552,11.227,2015-09-07 14:15:31.344484925+00:00,1038.0,1070.0,3039.0,3071.0,208.0,81.344,13.211,-6.759,12.147,13.321,-6.724,12.135,6.206,-45.538,-20.08,6.206,-45.538,-20.08,0.761,0.761,10.541,10.736,1.131,-1.594,-33.051,5.719,-1.561,-33.275,-5.754,-276.154,14.105,-5.675,-275.705,13.079,77343848.0,1104451.875,77940272.0,1101871.25,83599544.0,2510908.25,83800568.0,2505837.75,0.232,5.736,4.878,7.982,7.062,10.19,
3.0,2015-09-07 17:25:00,2015-09-07 17:35:00,1.85,10.81,-4.58,-29.29,15.14,-25.25,0.72,8.41,-3.63,15.482,113.328,3.64,2015-09-07 17:30:00+00:00,3.0,1.0,1.844,10.806,-4.584,11.738,2015-09-07 17:29:22.127802014+00:00,254.0,286.0,1782.0,1814.0,453.0,101.7,11.825,-10.833,21.76,11.532,-11.093,21.657,6.428,-38.549,-36.683,6.428,-38.549,-36.683,1.509,1.486,15.96,16.185,-3.102,-60.999,-47.405,-1.714,-61.13,-46.648,13.129,-306.895,-18.538,12.803,-309.448,-16.141,42411200.0,2313559.0,42905032.0,2313627.75,55385880.0,4118776.5,55612456.0,4116116.0,0.575,3.326,6.784,6.518,7.916,12.282,
3.0,2015-09-07 17:55:00,2015-09-07 18:05:00,1.56,10.85,-4.36,-16.5,-13.33,-27.95,0.06,5.0,-8.12,15.158,148.355,3.99,2015-09-07 18:00:00+00:00,3.0,1.0,1.559,10.85,-4.362,11.694,2015-09-07 17:56:38.115148544+00:00,105.0,137.0,1593.0,1625.0,160.0,94.323,13.695,-27.533,13.677,13.868,-27.418,12.917,-5.37,-14.502,-31.915,-5.37,-14.502,-31.915,1.036,1.012,14.154,14.061,-59.006,38.627,-2.433,-60.535,32.405,-3.37,1.309,-302.207,-29.125,1.376,-305.461,-29.859,51728040.0,4055533.0,52071696.0,4066910.25,57381212.0,5399746.5,57273808.0,5391843.0,1.752,1.669,3.36,5.913,6.109,8.31,
3.0,2015-09-09 08:35:00,2015-09-09 08:45:00,5.29,5.94,-3.3,-19.63,39.71,3.67,1.37,1.76,-9.45,0.232,169.422,3.86,2015-09-09 08:40:00+00:00,3.0,1.0,5.291,5.945,-3.304,6.802,2015-09-09 08:43:23.426490545+00:00,1228.0,1260.0,494.0,526.0,1196.0,40.69,30.828,-45.346,11.903,30.625,-45.558,11.917,21.094,-5.429,8.118,21.094,-5.429,8.118,2.785,2.72,39.681,39.757,15.648,37.752,-52.654,8.103,40.488,-53.889,-78.978,-95.301,-188.904,-79.619,-94.559,-188.813,25097052.0,4368413.0,25245284.0,4421253.0,22402180.0,4602763.0,22412968.0,4561907.5,14.084,0.729,3.3,5.33,5.111,5.33,
3.0,2015-09-09 12:55:00,2015-09-09 13:05:00,4.31,9.01,-5.57,6.04,19.53,19.65,-1.23,-2.05,-7.69,10.5,194.954,2.62,2015-09-09 13:00:00+00:00,3.0,1.0,4.311,9.013,-5.571,10.596,2015-09-09 12:59:14.303514957+00:00,127.0,159.0,1209.0,1241.0,401.0,149.018,10.849,-10.383,8.506,11.038,-10.489,8.401,-11.965,18.552,-35.877,-11.965,18.552,-35.877,1.059,1.08,16.17,16.025,-28.566,-4.216,-20.753,-26.657,-2.619,-18.169,-0.925,-190.38,-70.554,-1.35,-190.236,-70.288,63916632.0,1633950.125,63987608.0,1634866.0,78784040.0,2645754.0,79005416.0,2640166.75,0.625,8.682,3.989,6.539,5.04,6.57,
