jet_time,crossing_time,added_at,mms_probe,dt,jet_len,rate,level,coord_type,time_clip,tsy_model,recon_models,omni_level,m_p,dr,limits,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean,r_rc_Shear,r_rc_Bisection Field,r_rc_Reconnection Energy,r_rc_Exhaust Velocity,sw_b_imf_gsm_x,sw_b_imf_gsm_y,sw_b_imf_gsm_z,sw_v_imf_gse_x,sw_v_imf_gse_y,sw_v_imf_gse_z,sw_np,sw_tp,sw_sym_h,sw_clock_angle,sw_p_dyn,sw_cone_angle,method_used,r_rc
2016-10-02 20:02:30+0000,2016-10-02 20:00:30+0000,2026-07-16 20:09:49,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2016-10-02 20:00:30+0000,3,1,0.954,11.458,-3.191,11.894,2016-10-02 20:02:30+0000,163,195,1911,1943,1644,25.18,13.306,-38.566,8.286,13.248,-38.566,8.204,5.471,-20.278,15.439,5.471,-20.278,15.439,2.07,2.07,10.94,11.08,12.37,-94.53,12.56,12.3,-91.66,13.63,66.71,-313.89,98.46,62.95,-318.99,96.38,6055720,4083217.0,6034814,3980691.0,8809876,4878773.0,8819219,4876075.0,2.445,0.288,2.19,3.19,2.19,3.12,-1.501,-1.205,-2.335,-526.02,-2.47,16.93,4.308,166488.672,-32.8,207.296,2.3,119.74,shear,2.19
2015-09-02 16:47:33+0000,2015-09-02 16:45:00+0000,2026-07-16 20:43:46,3,300,3,brst,l2,lmn,True,t96,"['shear', 'reconnection energy', 'exhaust velocity', 'bisection']",hro_1min,1.0,0.5,20.0,2015-09-02 16:45:00+0000,3,1,1.649,10.848,-4.78,11.854,2015-09-02 16:47:33+0000,407,439,3003,3035,2464,23.68,3.302,-1.018,28.416,3.422,-1.106,28.448,4.77,-16.203,33.092,4.77,-16.203,33.092,4.29,4.27,27.94,27.52,63.77,90.98,16.28,63.48,90.82,16.94,8.18,-286.06,-150.44,8.4,-284.61,-153.24,19652722,2680838.0,19664522,2739270.0,21195928,2798625.0,21182176,2832354.0,1.945,3.647,11.76,10.497,11.17,13.866,-1.749,3.45,0.617,-389.53,-18.93,7.43,17.239,17547.5,5.6,79.86,5.05,116.52,shear,11.76
2015-09-02 17:05:05.216631531+00:00,2015-09-02 17:05:00+00:00,2026-07-16T01:03:20.531879+00:00,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-02T17:05:00+00:00,3,True,1.46899998188019,10.9280004501343,-4.64400005340576,11.8739995956421,2015-09-02T17:05:05.216631531+00:00,1760,1792,1286,1318,2034,59.495,2.807,2.071,37.6,2.918,1.529,37.148,3.061,-22.744,14.541,3.061,-22.744,14.541,4.06099987030029,4.10200023651123,45.6660003662109,45.4739990234375,15.543,23.827,-6.727,26.181,22.716,-5.657,19.113,-230.3,-83.732,18.612,-228.6,-84.454,18925264,1826222.125,18385034,1835276.125,24194586,2033815.625,23933822,2064745.5,4.07,2.02,,,,,,,,,,,,,,,,,shear,
2015-09-03 15:01:17.390439033+00:00,2015-09-03 15:00:00+00:00,2026-07-16T02:34:02.103851+00:00,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-03T15:00:00+00:00,3,True,2.67899990081787,10.1750001907349,-5.34899997711182,11.496000289917,2015-09-03T15:01:17.390439033+00:00,3349,3381,1615,1647,2515,17.274,-0.059,-3.506,36.387,1.825,-3.949,36.525,8.485,-17.575,43.702,8.485,-17.575,43.702,1.66400003433228,1.682000041008,14.4770002365112,14.6730003356934,-23.468,-53.215,-66.089,-3.0,-54.341,-71.523,9.752,-239.507,-132.911,22.225,-234.005,-134.71,33438986,3294167.75,33642688,3273643.0,40684996,3553014.75,41060724,3536366.25,0.753,1.578,,,,,,,,,,,,,,,,,shear,
2015-09-03 17:25:32.826460480+00:00,2015-09-03 17:30:00+00:00,2026-07-16T02:39:29.812634+00:00,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-03T17:30:00+00:00,3,True,1.36199998855591,10.9709997177124,-4.49399995803833,11.8559999465942,2015-09-03T17:25:32.826460480+00:00,2471,2503,1205,1237,218,7.055,2.847,-1.681,30.022,3.06,-1.114,29.918,0.694,2.168,41.857,0.694,2.168,41.857,2.22199988365173,2.23900008201599,15.5450000762939,15.58899974823,90.285,143.477,-33.753,91.005,149.809,-34.955,15.838,-66.785,-119.974,17.44,-61.973,-117.843,44813712,4370646.0,45792284,4388553.0,52065572,4168898.5,53097936,4150068.0,1.299,4.108,,,,,,,,,,,,,,,,,shear,
2015-09-04 12:10:49+0000,2015-09-04 12:10:00+0000,2026-07-16 04:57:08,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-04 12:10:00+0000,3,1,4.031,8.585,-5.226,10.05,2015-09-04 12:10:49+0000,761,793,517,549,502,45.93,11.345,-12.326,19.856,11.354,-12.768,19.792,9.673,7.712,25.323,9.673,7.712,25.323,1.05,1.05,13.95,14.2,0.34,62.05,-102.59,-5.2,61.73,-103.35,-37.38,-260.61,-239.55,-44.99,-262.12,-236.02,75588368,8703994.0,75840688,8605988.0,91490624,7127696.0,90825368,7097793.0,4.876,4.365,,,,,,,,,,,,,,,,,shear,
2015-09-07 13:51:35+0000,2015-09-07 13:50:00+0000,2026-07-16 07:00:15,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-07 13:50:00+0000,3,1,3.716,9.507,-5.579,11.023,2015-09-07 13:51:35+0000,825,857,427,459,1299,58.97,5.974,-0.432,48.716,6.084,-1.147,48.684,-0.675,38.984,25.101,-0.675,38.984,25.101,4.45,4.4,16.05,16.23,-13.11,-4.03,-109.95,-13.5,-1.82,-109.25,24.27,-243.0,-84.54,27.05,-243.12,-84.27,13693602,3100869.0,13638266,3063858.0,13328718,4375902.0,13442106,4381872.0,0.905,0.86,,,,,,,,,,,,,,,,,shear,
2015-09-07 13:58:32+0000,2015-09-07 14:00:00+0000,2026-07-16 07:00:53,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-07 14:00:00+0000,3,1,3.642,9.593,-5.575,11.095,2015-09-07 13:58:32+0000,1084,1116,2027,2059,1056,139.8,6.02,-8.679,39.647,7.15,-8.179,39.691,-13.259,31.26,-24.177,-13.259,31.26,-24.177,2.77,3.07,21.43,21.22,27.22,-216.06,-0.43,24.88,-200.15,-13.88,0.52,-312.79,-208.95,3.88,-318.49,-205.38,24117890,3081121.0,24104590,3118009.0,29120500,3598426.0,28340086,3708939.0,1.359,1.613,,,,,,,,,,,,,,,,,shear,
2015-09-07 14:12:01+0000,2015-09-07 14:10:00+0000,2026-07-16 07:01:29,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-07 14:10:00+0000,3,1,3.566,9.676,-5.566,11.163,2015-09-07 14:12:01+0000,953,985,46,78,2809,38.11,6.336,0.036,27.847,6.357,-0.08,27.785,-4.727,26.559,40.302,-4.727,26.559,40.302,1.5,1.5,12.2,12.31,25.43,61.96,-96.25,25.68,62.38,-95.13,4.07,-134.77,-23.86,2.41,-132.21,-23.52,46014400,2623049.0,45658764,2652914.0,51722764,4414118.0,51755168,4450940.0,0.591,3.044,,,,,,,,,,,,,,,,,shear,
2015-09-07 14:15:31+0000,2015-09-07 14:20:00+0000,2026-07-16 07:02:05,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-07 14:20:00+0000,3,1,3.489,9.759,-5.552,11.227,2015-09-07 14:15:31+0000,1038,1070,3039,3071,208,81.34,13.211,-6.759,12.147,13.321,-6.724,12.135,6.206,-45.538,-20.08,6.206,-45.538,-20.08,0.76,0.76,10.54,10.74,1.13,-1.59,-33.05,5.72,-1.56,-33.27,-5.75,-276.15,14.11,-5.67,-275.7,13.08,77343848,1104451.0,77940272,1101871.0,83599544,2510908.0,83800568,2505837.0,0.232,5.736,,,,,,,,,,,,,,,,,shear,
